Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 11/15  10:00:00,0.805817473,2.965458327,0,1.940763337,0.051964855,0.051964855,0.051964855,0.10662278,0.022091034,0.334037085,0.27575372,1.005700024
 11/15  11:00:00,0.802251134,2.642107717,0,1.734735736,0.046448369,0.046448369,0.046448369,0.090629363,0.018777379,0.348809033,0.282238991,0.887930284
 11/15  12:00:00,0.803767792,1.988114259,0,1.185921484,0.031753608,0.031753608,0.031753608,0.090629363,0.018777379,0.364933981,0.282325461,0.782745122
 11/15  13:00:00,0.765201856,0.98521615,0,0.265328854,0.007104305,0.007104305,0.007104305,0.090629363,0.018777379,0.355773214,0.277569596,0.700767246
 11/15  14:00:00,0.733874881,0.671317315,0,0,0,0,0,0.090629363,0.018777379,0.321952343,0.287167797,0.651536104
 11/15  15:00:00,0.73768065,0.62350971,0,0,0,0,0,0.101291641,0.020986482,0.296716788,0.303337739,0.602614652
 11/15  16:00:00,0.816373661,0.641601737,0,0.010147334,0.0002717,0.0002717,0.0002717,0.143940752,0.02982291,0.306790856,0.320199443,0.609397847
 11/15  17:00:00,1.073583986,0.949250762,0,0.254864446,0.006824116,0.006824116,0.006824116,0.26122581,0.054123048,0.35732319,0.378739822,0.668297274
 11/15  18:00:00,1.514754606,1.9898444,0,1.164966805,0.031192537,0.031192537,0.031192537,0.46380916,0.096096026,0.448200529,0.460108355,0.793183579
 11/15  19:00:00,1.730049237,1.584491359,0,0.641623747,0.017179779,0.017179779,0.017179779,0.634405538,0.131441695,0.402135423,0.499538802,0.908457478
 11/15  20:00:00,1.640882074,1.862319713,0,0.899596542,0.024087122,0.024087122,0.024087122,0.634405538,0.131441695,0.319977444,0.515622274,0.927205146
 11/15  21:00:00,1.574047977,2.26509272,0,1.369571927,0.036670935,0.036670935,0.036670935,0.586425287,0.12150073,0.280754343,0.533348681,0.858781705
 11/15  22:00:00,1.451658797,2.813034627,0,2.001680897,0.053595952,0.053595952,0.053595952,0.495795925,0.102723337,0.263298624,0.520896961,0.775472365
 11/15  23:00:00,1.192809703,3.357846233,0,2.684159669,0.071869643,0.071869643,0.071869643,0.367848589,0.076214096,0.21075981,0.450769564,0.64263584
 11/15  24:00:00,0.952847906,4.123510195,0,3.597525706,0.09632545,0.09632545,0.09632545,0.255894671,0.053018496,0.140550925,0.391710364,0.499001988
 11/16  01:00:00,0.704685591,4.609904941,0,4.240767864,0.113548563,0.113548563,0.113548563,0.133278474,0.027613807,0.090892612,0.324004135,0.346818439
 11/16  02:00:00,0.616738806,5.148413458,0,4.850381372,0.129871253,0.129871253,0.129871253,0.079967085,0.016568276,0.07666173,0.298322463,0.277482498
 11/16  03:00:00,0.574696103,5.359328989,0,5.080372625,0.136029377,0.136029377,0.136029377,0.05331139,0.01104552,0.064098165,0.294863651,0.258645032
 11/16  04:00:00,0.576994252,5.875576963,0,5.591469718,0.149714243,0.149714243,0.149714243,0.05331139,0.01104552,0.056862021,0.290713078,0.264081821
 11/16  05:00:00,0.582954854,6.173944755,0,5.835250603,0.156241592,0.156241592,0.156241592,0.05331139,0.01104552,0.067277,0.279731353,0.319425191
 11/16  06:00:00,0.63401549,6.397104245,0,5.813880247,0.15566939,0.15566939,0.15566939,0.058642536,0.012150073,0.080047784,0.312157707,0.561721387
 11/16  07:00:00,0.792323058,7.024796518,0,5.985918256,0.160275789,0.160275789,0.160275789,0.101291641,0.020986482,0.133753612,0.360667534,1.014034109
 11/16  08:00:00,1.002175267,6.361237755,0,5.196251132,0.139132079,0.139132079,0.139132079,0.197252142,0.040868427,0.211338342,0.383236277,1.138587849
 11/16  09:00:00,0.974778514,6.023676419,0,4.895458174,0.131078205,0.131078205,0.131078205,0.191921003,0.039763875,0.272663295,0.324004135,1.105899606
 11/16  10:00:00,0.866206789,5.221524186,0,4.196160195,0.112354172,0.112354172,0.112354172,0.10662278,0.022091034,0.334037085,0.27575372,1.006369025
 11/16  11:00:00,0.855799112,4.642578344,0,3.734624924,0.099996347,0.099996347,0.099996347,0.090629363,0.018777379,0.348809033,0.282238991,0.888511723
 11/16  12:00:00,0.825758616,2.809944191,0,2.007226317,0.053744433,0.053744433,0.053744433,0.090629363,0.018777379,0.364933981,0.282325461,0.78327022
 11/16  13:00:00,0.786428905,1.77841057,0,1.058108457,0.028331354,0.028331354,0.028331354,0.090629363,0.018777379,0.355773214,0.277569596,0.701182063
 11/16  14:00:00,0.746162567,1.131164923,0,0.458915736,0.012287686,0.012287686,0.012287686,0.090629363,0.018777379,0.321952343,0.287167797,0.652467976
 11/16  15:00:00,0.745125357,0.902992708,0,0.278042048,0.007444707,0.007444707,0.007444707,0.101291641,0.020986482,0.296716788,0.303337739,0.604055602
 11/16  16:00:00,0.828032022,1.077873184,0,0.445559281,0.01193006,0.01193006,0.01193006,0.143940752,0.02982291,0.306790856,0.320199443,0.610257346
 11/16  17:00:00,1.093562211,1.695752146,0,1.001003479,0.026802341,0.026802341,0.026802341,0.26122581,0.054123048,0.35732319,0.378739822,0.668659626
 11/16  18:00:00,1.545725861,3.146906296,0,2.321669278,0.062163792,0.062163792,0.062163792,0.46380916,0.096096026,0.448200529,0.460108355,0.793543003
 11/16  19:00:00,1.75824237,2.637929319,0,1.694569989,0.045372912,0.045372912,0.045372912,0.634405538,0.131441695,0.402135423,0.499538802,0.908949196
 11/16  20:00:00,1.660468134,2.594387583,0,1.631089153,0.043673183,0.043673183,0.043673183,0.634405538,0.131441695,0.319977444,0.515622274,0.927780404
 11/16  21:00:00,1.589665169,2.848899935,0,1.952836787,0.052288128,0.052288128,0.052288128,0.586425287,0.12150073,0.280754343,0.533348681,0.85932406
 11/16  22:00:00,1.462403161,3.214808403,0,2.402957228,0.064340315,0.064340315,0.064340315,0.495795925,0.102723337,0.263298624,0.520896961,0.775969809
 11/16  23:00:00,1.194998518,3.439947,0,2.765906699,0.074058459,0.074058459,0.074058459,0.367848589,0.076214096,0.21075981,0.450769564,0.642989577
